"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent","contactConsent","suggestedInitiatives","interviewtime","groupTime9","nameTime","addressTime","emailTime","phoneTime","websiteTime","facebookTime","twitterTime","hoursTime","contactNameTime","contactDetailsTime","groupTime10","descriptionTime","valuesTime","structureTime","activityTime","secondaryActivitiesTime","networkTime","groupTime11","websiteConsentTime","contactConsentTime","suggestedInitiativesTime"
"99","2019-05-13 10:35:00","3","en","","2019-05-13 10:18:00","2019-05-13 10:35:00","Extinction Rebellion Oxford","","","","","OX1",""," xroxford@gmail.com ","","https://www.xroxford.org","https://www.facebook.com/ExtinctionRebellionOxford","@XR_Oxford","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Anna Clements","annafelicity113@gmail.com","We are a non-violent direct action movement demanding urgent action in the face of the climate emergency. Our members are people in the Oxford area and surrounding villages who agree with the aims and methods of Extinction Rebellion. We are proud conscientious Earth protectors. There is no Planet B.","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","1004.11","493.6","","","","","","","","","","","491.38","","","","","","","19.13","","",""
"100","2019-05-13 16:01:00","3","en","","2019-05-13 11:30:00","2019-05-13 16:01:00","InsightShare","The Old Music Hall","106-108 Cowley Road","","Oxford","OX4 1JE","","info@insightshare.org","01865403127","https://insightshare.org/","https://www.facebook.com/InsightShareUk/","@InsightShare","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Madeleine","msampson@insightshare.org","At InsightShare we work with communities around the world to address key issues through Participatory Video. Our goal if to  amplify unheard voices and bring people together to focus on change.  We therefore encourage, support push and advocate for participation and self-representation so that marginalised communities are part and parcel of decisions that affect their lives. ","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","Yes","N/A","","Yes","No","","16310.6","15671.7","","","","","","","","","","","615.64","","","","","","","23.24","","",""
"102","2019-05-15 16:48:00","3","en","","2019-05-15 16:36:00","2019-05-15 16:48:00","Cultivate Oxfordshire","","","","","OX1","kinda tricky...","info@cultivateoxford.org","","https://cultivateoxford.org","https://www.facebook.com/CultivateOxford/","@CultivateOxford","Yes","","Yes","","N/A","","Yes","","Yes","","Yes","","Yes","","Emma Burnett","emma.burnett@linacre.oxon.org","Cultivate is all about bringing people together to create a better food system for Oxford. Better for everyone who eats food, better for everyone who grows food, and better for the planet.
We have experience running a market garden on 10 acres of land just outside Oxford on the Earth Trust farm, but now focus on partnering with local growers, producers and farmers to provide the people of Oxford with local, ethical delicious produce via our our weekly online market and farmers market stall. We work to involve more people in local food by building new routes to market for local producers and creating a vibrant and wide-ranging movement for local food in Oxford.","Yes","Yes","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Yes","Food","N/A","Yes","N/A","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","Good Food Oxford; CAG; Thames Organic Growers; Independent Oxford","Yes","Yes","Local allotments? Facebook share and swap groups (the Ox ones)?","711.48","180.25","","","","","","","","","","","452.21","","","","","","","79.02","","",""
"105","2019-05-16 22:39:00","3","en","","2019-05-16 22:28:00","2019-05-16 22:39:00","Nishkam SWAT","Broad Street","","","Oxford","OX1","","oxford@swatlondon.com","07956948772","http://swatlondon.com/","https://www.facebook.com/nishkamSWAT","@NishkamSWAT","N/A","","Yes","19:00 - 20:00","N/A","","Yes","19:00 - 20:00","N/A","","N/A","","N/A","","Manminder Kalsey","oxford@swatlondon.com","Nishkam SWAT provide outreach services for the homeless and less fortunate. This includes an evening meal and clothing. The service we provide is not tailored to a specific community or ethnic group, we are an all inclusive faith based and value led charity serving all of humanity regardless of caste, creed, colour or faith.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Health, Social Care & Wellbeing","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","","Yes","No","","624.69","297.76","","","","","","","","","","","296.96","","","","","","","29.97","","",""
"107","2019-05-17 15:23:00","3","en","","2019-05-17 15:17:00","2019-05-17 15:23:00","South Oxford Community Centre","Lake Street","Lake Street","","Oxford","OX1 4RP","","enquiries@southoxford.org","01865242666","http://southoxford.org/","https://www.facebook.com/southoxfordcommunity/ ","","Yes","Office open 10:00 - 13:00 Community Centre available 9:00 - 22:00","Yes","Office open 10:00 - 13:00 Community Centre available 9:00 - 22:00","Yes","Office open 10:00 - 13:00 Community Centre available 9:00 - 22:00","Yes","Office open 10:00 - 13:00 Community Centre available 9:00 - 22:00","Yes","Office open 10:00 - 13:00 Community Centre available 9:00 - 22:00","Yes","Community Centre available 9:00 - 22:00","Yes","Community Centre available 9:00 - 22:00","Debby Forbes","01865 242666","The Community centre is located in a beautiful old Victorian pumping station built in 1856 and can be found a mile from the centre of Oxford just off the Abingdon Road in Lake Street.
South Oxford Community Association (set up in 1937) looks after the day to day running of the Community Centre. We provide rooms for the benefit of local residents to use for leisure, meetings, and learning at affordable prices. The Association is a charity, and we offer subsidised rates for groups working for the benefit of the community. The Community Centre is self-financing and we pay all our own staff costs, bills, buy our equipment and maintain the interior of the building. Our Management Committee is a friendly group, and we are always looking for new members. ","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Community & Collective Spaces","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","360.96","191.08","","","","","","","","","","","149.53","","","","","","","20.35","","",""
"112","2019-05-24 17:17:00","3","en","","2019-05-24 17:10:00","2019-05-24 17:17:00","Young Women's Music Project","","","","","OX2","","info@ywmp.org.uk","","http://www.ywmp.org.uk/","https://www.facebook.com/YWMPOXFORD/","@YWMPoxford","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Alice Dann","info@ywmp.org.uk","The Young Women's Music Project (YWMP) provides an inclusive and supportive space for young women aged 14-21 to make music together, learn new skills, express themselves, and grow in confidence. In free music sessions and workshops, the young women make and record music, plan and hold gigs and events. These projects help young people to challenge issues affecting them in a creative and productive way, such as class, race, sexuality, gender, mental health, and consent.

","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Community & Collective Spaces","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","431.2","157.76","","","","","","","","","","","259.52","","","","","","","13.92","","",""
"113","2019-05-24 18:02:00","3","en","","2019-05-24 17:47:00","2019-05-24 18:02:00","Refill Oxford","","","","","","City-wide!","refill.oxford@gmail.com","07941543709","https://www.refilloxford.org","https://www.facebook.com/RefillOxford/","@Refill_Oxford","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Georgina Matthews","refill.oxford@gmail.com","Refill is a practical campaign that makes refilling your bottle as easy and convenient as possible, with the aim of reducing plastic waste. Participating cafes, bars, restaurants, pubs, galleries, museums and other businesses display a blue Refill sticker in their window to welcome thirsty passers-by to come on in and fill up their water bottle – for free. All the Refill ""stations"" are marked on an online map. You can download the Refill app to your phone to find out where they all are- https://www.refill.org.uk/get-the-refill-app/.


","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","We are part of the national Refill campaign- a network of local, community based Refill schemes which span the UK. There are now 200 local schemes, supported by City to Sea. ","Yes","Yes","","931.3","657.59","","","","","","","","","","","266.07","","","","","","","7.64","","",""
"114","2019-05-28 07:57:00","3","en","","2019-05-28 06:52:00","2019-05-28 07:57:00","SESI Food And Household Refills","Unit 2 Chiltern Business Centre","Garsington Road","Cowley","Oxford","OX4 6NG","","inbox@sesi.org.uk","07758218602","https://sesi.org.uk/","https://www.facebook.com/sesi.refill/","@SESIOxford","Yes","Visit day to the factory but by arrangement  (due to Health And Safety regulations)","Yes","","Yes","","N/A","","N/A","","Yes","Averyone welcome to our regular Saturday Pop Up Shop 10am-1pm at East Oxford Farmers Market","Yes","Closed","Paul Godden or Rina Melendez","rina.melendez@sesi.org.uk and 07758218602","SESI is a social enterprise born in 2006 in the shed of our local primary school. In 2007 on demand, we transitioned to running a Zero Waste Pop Up Shop at East Oxford Farmers Market. We help reduce food waste, cut on plastic pollution and thrive in community cohesion.
In 2013 SESI developed its brand of vegan, cruelty free and biodegradable household detergents, manufactured by a family firm 50 miles from Oxford. Over 70 traders across England, Wales, Jersey and Guernsey refill SESI detergents – more joining our circular scheme. Together, we currently refill 25,000 bottles/month and the figure keeps growing.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","Yes","Yes","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","Yes","Community Action Group - Resources Futures

Good Food Oxford","Yes","Yes","These new(ish) ones may already be in the list but just in case they are not:

The Children's Allotment
Re-create (Christine McDermott)
","3944.22","661.71","","","","","","","","","","","2673.89","","","","","","","608.62","","",""
"115","2019-05-28 16:32:00","3","en","","2019-05-28 16:22:00","2019-05-28 16:32:00","Good Food Oxford","16-17 Turl Street","3rd Floor","","Oxford","OX1 3DH","","mail@goodfoodoxford.org","","http://goodfoodoxford.org/","https://www.facebook.com/GoodFoodOxford/","@GoodFoodOxford","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Nina Osswald","nina.osswald@goodfoodoxford.org","Good Food Oxford is a network for a better food system in Oxford. It is open to anyone with an interest in food and food production and aims to bring together citizens, local authorities, businesses, academics and other stakeholders to help us all work together towards the shared goal of healthy, fair, sustainable and tasty food. Good Food Oxford was launched in December 2013 in order to help support the existing work of many organisations in and around the city to improve our food system, to catalyse new initiatives and collaborations, and to encourage more joined-up thinking, research and policy around food issues.","N/A","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Sustainable Food Cities Network, Community Action Groups Oxfordshire","Yes","Yes","","568.33","216.83","","","","","","","","","","","327.56","","","","","","","23.94","","",""
"116","2019-05-31 14:44:12","3","en","2128269747","2019-05-31 14:38:57","2019-05-31 14:44:12","The RED Learning Coop: Research, Education and Development for Social Change","20 Marlborough Road","","","Oxford","OX1","We do not have a physical address at the moment, as members are spread around the country. We use Oxford as a base.","redlearningcoop@gmail.com","","","","","Yes","Emails are checked on a daily basis","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Tracy Walsh","redlearningcoop@gmail.com","The RED Learning Cooperative brings together practitioners and activists with many years of experience of working with Trade Unions, Non-Governmental Organisations, Social Enterprises, Charities, Community groups and the Cooperative Movement. We have a passion for working collaboratively to develop critically reflective, radical education.
We offer research and education, for personal and collective agency and empowerment.","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Education","No","Yes","No","No","No","No","No","No","No","No","No","No","Part of Coops UK and a federated partner in the Cooperative University","Yes","Yes","","315.09","121.93","","","","","","","","","","","180.96","","","","","","","12.2","","",""
"117","2019-06-03 10:22:29","3","en","1274626518","2019-06-03 09:04:45","2019-06-03 10:22:29","EOF Hackspace Co-operative"," Aristotle House","1 Aristotle Lane ","","Oxford","OX2 6TP","","info@eof.org.uk","","https://eof.org.uk/","https://www.facebook.com/EOFCoop/","@EOFCoop","Yes","7 - 10 pm (please always check timetable for each day at https://eof.org.uk/)","Yes","12 - 4 pm; 5:30 - 9:00 pm","Yes","7 - 10 pm","Yes","7 - 10 pm","Yes","5:30 -9:00 pm","Yes","2 - 10 pm","No","","Eileen Cameron-Kirby; Iulian Arcus","ecameronkirby@btinternet.com (landline 01865 770067, emergencies 07957 029862); arcusiulian@gmail.com (07901 257 637)","EOF Hackspace is an open community of makers, inventors and repairers who come together to share knowledge, tools and space. Our location at Makespace Oxford offers us a workshop space to work on all kinds of projects, including collaborations with Brookes University, Oxfordshire County Library, the Ashmolean Museum and more. We offer workshops in a variety of topics including 3D printing, digital electronics (Arduino and Raspberry Pi), special makeup effects, laser etching wood and plastics, and as our membership grows we will adapt to the interests of our members.

","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","Community & Collective Spaces","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes"," Makespace Oxford","Yes","Yes","","4664.51","2362.37","","","","","","","","","","","2249.35","","","","","","","52.79","","",""
"121","2019-06-10 11:25:00","3","en","","2019-06-10 11:11:00","2019-06-10 11:25:00","Low Carbon Oxford North","12 Apsley Road ","","","Oxford","OX2 7QY","","chair@lcon.org.uk","07803895591","https://lcon.org.uk/","https://www.facebook.com/taketheco2outofox2/","@LowCON ","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Alison Hill","chair@lcon.org.uk","Low Carbon Oxford North (LCON) is a group of local residents offering practical ideas and information to help people in North Oxford shrink their carbon footprint. We are working on issues including renewable energy, energy efficiency, transport and food. We are a registered charity. 

Our Objects are to conserve, improve and protect the physical and natural environment for the public benefit by promoting:

the prudent use and sharing of resources;
the reduction of waste through re-use, reclamation, recycling, use of recycled products and use of surplus;
reduction in the consumption of fossil based fuels;
the use of low carbon means of transport;
reduction of carbon emissions from the growing, transporting, purchasing and preparing of food

with the aim of reducing the carbon footprint of North Oxford by 80% by the year 2050
","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Energy","N/A","Yes","Yes","Yes","N/A","Yes","N/A","N/A","Yes","N/A","Yes","Yes","The Community Action Group Oxfordshire
The Coalition for Healthy Streets and Active Travel
Fairplay - social justice movement in North Oxford","Yes","Yes","Other members of the FairPlay Network https://www.facebook.com/groups/2022416277770248/","795.88","230.58","","","","","","","","","","","445.38","","","","","","","119.92","","",""

