Contacted,Responded,Met,Name,Postcode,Lat/Long,Web,Tags,Contact Person,Email,Phone,Address,Notes from post it,Description from website
,,,Art Club - Ryton,NE40 3QP,,,,D Henderson,,0191 413 5967 (Home),"Ryton Community Centre, Cross House Hall, Ryton NE40 3QP",,Art club for all ages and abilities
,,,Art Club - Whickham Library,NE16 4DN,,,,Pam Maxwell,,0191 414 0956,"C/o Whickham Library, St. Mary's Green, Whickham ",,Informal group of artists engaged in painting pictures in various forms of art materials.
,,,Art for You - Macmillan Cancer Support,NE1 2TQ,,,,Kathy Geater,kgeater@macmillan.org.uk,07474 877894,Art for You C/O Chilli Studios Newbridge St. Newcastle upon Tyne ,,"A volunteer-led emotional support service for people affected by cancer and their carers. We have a team of trained volunteers with a wide range of artistic skills and interests who hold art sessions once a week during term time for you to come along, try out and enjoy."
,,,Learning Skills,NE9 5UR,,,,,,,"The Dryden Centre, Evistones Road ",,"Thousands of adults in Gateshead participate in learning programmes provided by the Council and our partners. Including - Art and Design - painting and drawing, pottery and ceramics, jewellery making and silversmithing, dressmaking and textiles plus many more."
,,,Whitehills Community Centre,,,,,Billy Saul,whitehillsprojects@gmail.com,0191 4690852; 07736036547,"Whitehills Drive, Whitehills, Gateshead NE10 8XU",,"Whitehills Community Centre was built by the Warriors Community Project who are responsible for the growth and development of this newly formed community centre in the Whitehills, Windy Nook and High Heworth area."
,,,GEM Arts,NE8 4LN,,http://www.gemarts.org,,Alex Marsden,alexandra@gemarts.org,0191 440 4124,"Gateshead Central Library, Prince Consort Rd N",,
,,,Gateway Studio Project,,,http://www.gatewaystudioproject.co.uk,,Martin Hylton,info@gatewaystudioproject.co.uk,07830325567; 0191 4335750,,,"Gateway Studio Project, GSP is a community organization that provides a range of dance provision for ages 4 to senior adults. We deliver in, Community, Education and Professional settings."
,,,Thought Foundation,,,http://www.thoughtfoundation.co.uk,,Leanne Billinghurst,leanne@thoughtfoundation.co.uk,07815 748134,"Clarity House, Durham Road, Birtley, Gateshead DH32TB",,"Thought Foundation (community interest company) is a thoughtful arts and cultural space, to inspire, promote and support. We are situated in the heart of Birtley, Gateshead."
,,,Unfolding Theatre,,,,,,,,,,
,,,Bill Quay Arts Studio CiC,,,,,,,,,,
,,,NERAF (Northern Engagement into Recovery from Addiction Foundation),,,,,,,,,,
,,,ADVANCE,,,,,,,,,,
,,,Active Age North East,,,,,,,,,,
,,,Age UK Gateshead,,,,,,,,,,
,,,Anchor Northboure Care,,,,,,,,,,
,,,Alzheimer's Society - Gateshead,,,,,,,,,,
,,,,,,,,,,,,,
,,,Action for Children - Gateshead,,,,,,,,,,
,,,Cedars School,,,,,,,,,,
,,,Cedars School Youth Group,,,,,,,,,,
,,,Alive lunch,,,,,,,,,,
,,,Allotments Association - Whickham and District,,,,,,,,,,
,,,Bill Quay Community Farm,,,,,,,,,,
,,,The Comfrey Project,,,,,,,,,,
,,,Groundwork North East,,,,,,,,,,
,,,North of England Rosecarpe Horticultural Society,,,,,,,,,,
,,,The Saltmarsh Garden Dunston,,,,,,,,,,
,,,Whickham Hermitage Community Garden,,,,,,,,,,
,,,The Whinnies Community Gardens,,,,,,,,,,
,,,Alreet,,,,,,,,,,
,,,,,,,,,,,,,
,,,Barley Mow Village Hall,,,,,,,,,,
,,,Barmoor Hub,,,,,,,,,,
,,,Birtley Community Association,,,,,,,,,,
,,,Bensham and Saltwell Alive,,,,,,,,,,
,,,Bensham Grove Communtiy Centre,,,,,,,,,,
,,,The Bede Centre,,,,,,,,,,
,,,Brandling community Centre,,,,,,,,,,
,,,,,,,,,,,,,
,,,Dunston community Centre,,,,,,,,,,
,,,Arcadea,,,,,,,,,,
,,,,,,,,,,,,,
,,,Blaydon Writers - Prime Time,,,,,,,,,,
,,,Friends of Gateshead Central Library,,,,,,,,,,
,,,"Knit, Craft & Natter",,,,,,,,,,
,,,Whickham Knitting Group,,,,,,,,,,
,,,Knit and Knatter Group,,,,,,,,,,
,,,The Ark - young children,,,,,,,,,,
,,,ARTvewnturers (young children),,,,,,,,,,
,,,St Chads Church,,,,,,,,,,
,,,Gateshead Clubhouse,,,http://gatesheadclubhouse.com/,,(suggested by George Street Social),,,,,
,,,LGBT+ History Project NE,,,https://www.lgbthistoryproject.co.uk/,,(suggested by George Street Social),,,,,
,,,Cosy Crow Community Cafe,,,http://www.ourgateshead.org/whatson/cosy-crow-community-caf%C3%A9,,(suggested by George Street Social),,,,,
,,29/11/2018,Recovery Connections,TS1 2DY,,http://www.recoveryconnections.org.uk/,,Richy Cunningham,richy.cunningham@recoveryconnections.org.uk,077 793 427 25,"114 Marton Road, Middlesbrough",Think they also work in Gateshead?,"Recovery Connections is a peer led recovery organisation. We are committed to being informed and influenced by the community we serve. We are committed to have at least 50% of our workforce who identify themselves as a person in recovery. Our purpose is to inspire, motivate, empower and support all those affected by substance use, to sustain long term recovery and lasting positive change. As a peer led service we aim to raise the aspirations across the town for recovery and increase visibility and prove it is possible. We want all individuals, families and communities to know where to access help at the time they need it."
,,,Land of Oak and Iron,DH9 7XN,,http://landofoakandiron.org.uk/,,Kath Marshall-Ivens (suggested by Barbara Keating),landofoakandiron@groundwork.org.uk,01207 524883; 07966 330028,"Groundwork NE & Cumbria, The Greenhouse, Amos Drive, Greencroft Industrial Park, Annfield Plain ",,"Land of Oak & Iron offers something for everyone. It’s bursting with acres of beautiful natural woodland, rich in wildlife, and has lots of industrial and cultural heritage to celebrate. It’s right on your doorstep, here in north east England, less than 30 minutes away from Sunderland, Durham and Newcastle, and is easily accessible by public transport, car and bike too. With 500 years of authentic heritage, history, heroes and habitats, there is a wealth of activities and exciting projects to explore. Rekindling local passion to enable this area’s unique combination of natural, industrial and cultural heritage to be uncovered and rediscovered, the Land of Oak & Iron is about celebrating the past while looking forward to a sustainable future."
,,,Food Nation,NE6 1SD,,https://www.foodnation.org/,,"Jamie Sadler, Managing Director (suggested by Barbara Keating)",info@foodnation.org,0191 276 0595,"Food Nation Head Office, 28 Heaton Road, Byker, Newcastle upon Tyne, ","Barbara Keating collaborating with project at Harrisa, Sandyford","Food Nation is a Social Enterprise passionate about food, nutrition and health. Our team is based in Newcastle-upon-Tyne and provides innovative food and nutrition services to schools, businesses and communities across the North-East of England. We aim to deliver practical activities that enable people to make healthy food choices for themselves and their families."
,,,Honest Graft CIC,NE12 9PG,,http://www.honestgraft.org/,,"Al Robinson, Founder (suggested by Barbara Keating)",,,"(registered office) 40 Belvedere Gardens, Newcastle Upon Tyne, Tyne And Wear",,"Honest Graft is a small, privately funded community interest company, established and run by enthusiasts in Newcastle upon Tyne who work with a wide range of local groups, community orchards and individuals, teaching people the age old technique of clonal reproduction known as grafting, and in so doing introduce to them the many thousands of varieties of top-fruit; apples, pears, plums, gages, quince etc which grow in the UK. We access these varieties through the National Fruit Collection based in Brogdale, Kent.  This collection of varieties has been established and passed down through generations, and in some cases over centuries, but it is not just a curiosity.  It is a legacy of inestimable value bequeathed to us, and it is incumbent upon us to nurture this inheritance and ensure it is available for the benefit of our children and grandchildren and the countless generations beyond them.We intend to continue to run our grafting courses for local groups, whilst enabling previously skilled groups and individuals to build on their new passion by making grafting material available to them.  We are also excited to be commencing pilot projects with local schools with the aim of rolling out a larger project. But our ultimate aim is to establish a living library, a fruit collection for the region, from which we can better support the many individuals and projects who are growing fruit to develop their own collections.  By growing an extensive range we can actively evaluate the viability of these varieties and, more importantly, allow people to try these fruits, further stimulating interest and so appreciating the potential of this tremendous legacy."
,,,COBS network (sp?),,,,,"(suggested by Karen Dobson, Scotswood Community Garden - she will link us up)",,,,,
