Identifier,Name,Description,Legal Forms,Street Address,Locality,Region,Postcode,Country Name,Website,Companies House Number,IgnoredLat,IgnoredLong,Geo Container,Latitude,Longitide
spl,Speciality Produce Limited,,Cooperative,,,,PE20 3LR,,https://spl.coop/igloo.sso?igSsoState=qj8XrwzFcPHLsRSkDekqvExbeW0rIkyiQYODFgSficxsYBOYxI2Gms%2bfZRUS0A5%2bEZ9KgjB33gTAvmsdgmkp8TiqwA69KLF25lVahrYos4CeGI2%2fP1sPVL56xMbfTYM27Hg%2baYULmKlE7K%2fBtJ5Tq23MTFnC%2fbW05YS7FdcF82htQ0bSlAhNcpsiDm7JLwpxqxgx0KRWZKjZ37RKm8Tacz2U8NZKJZ0k6b3wWuH7z9J%2fsxZbVJWEqMAUja2GZnc5&igSso=8yquSRjH7hjcOBrx%2f%2fx6qQ%3d%3d,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PE203LR,52.954493,-0.167368
stb,Sir Thomas Boughey Co-operative Business and Enterprise College,,Cooperative,,,,ST7 8AP,,http://www.stb.academy/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/ST78AP,53.039961,-2.304611
stcleres,St Clere's Co-operative Academy Trust,,Cooperative,,,,SS17 0NW,,http://www.stcleres.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS170NW,51.511194,0.417910
stitchedup,Stitched Up Co-operative Ltd,,Cooperative,,,,M21 0UF,,https://stitchedup.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M210UF,53.442318,-2.271518
students,Students For Cooperation,,Cooperative,,,,B29 7PX,,http://www.students.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B297PX,52.436790,-1.916861
success,Success (North East),,Cooperative,,,,DL16 6JY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/DL166JY,54.710054,-1.591529
suma,SUMA Foods,,Cooperative,,,,HX59DB,,http://www.suma.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HX59DB,53.692659,-1.829185
supporters-direct,Supporters Direct,,Cooperative,,,,WC1B 4SE,,,,,,,,
swcs,South West Co-operative Support Limited,,Cooperative,,,,BS2 8QN,,http://swcs.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS28QN,51.460895,-2.588431
tamworth,Tamworth Co operative Society Limited,,Cooperative,,,,B79 7HJ,,http://www.tamworth.coop/,,,,,,
tdic,TDIC,,Cooperative,,,,OL6 6NX,,https://tdic.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OL66NX,53.487938,-2.080771
tenantsfirst,Sanctuary Housing Association,,Cooperative,,,,WR1 3ZQ,,https://www.sanctuary-scotland.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WR13ZQ,52.196188,-2.225142
thecareandwellbeing,Perthshire Care &amp; Wellbeing Co-operative Limited,,Cooperative,,,,PH13 9PN,,https://thecareandwellbeing.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH139PN,56.509728,-3.281203
thecontractor,The Contractor Co-operative Limited,,Cooperative,,,,WC1V 6AZ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WC1V6AZ,51.518556,-0.113055
thedrive,The Drive Housing Co-operative Ltd,,Cooperative,,,,E17 3BW,,http://www.thedrive.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E173BW,51.587493,-0.013380
thefuel,The Fuel Co-op,,Cooperative,,,,BN8 5UR,,http://www.thefuel.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN85UR,50.880232,0.077223
thegreenoffice,THE GREEN OFFICE CO-OP CIC,,Cooperative,,,,CF31 3YH,,http://thegreenoffice.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CF313YH,51.498413,-3.556280
thehandmadebakery,The Handmade Bakery (Marsden) Ltf,,Cooperative,,,,HD7 6AJ,,http://thehandmadebakery.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD76AJ,53.604259,-1.924114
thekitchen,Lakamka Limited,,Cooperative,,,,BL3 5JW,,http://thekitchen.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BL35JW,53.570954,-2.447024
thenews,Co operative Press,,Cooperative,,,,M600AS,,https://www.thenews.coop/uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
thephone,The Phone Co op Limited,,Cooperative,,,,OX7 5XL,,https://www.thephone.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX75XL,51.943976,-1.553942
theservice,The Service Communications Ltd,,Cooperative,,,,WC1X 9NG,,https://theservice.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WC1X9NG,51.528961,-0.116445
thewarehouse,Friends of the Earth (Birmingham) Ltd,,Cooperative,,,,B5 5TH,,http://www.thewarehouse.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B55TH,52.477386,-1.890563
thewinesociety,The Wine Society,,Cooperative,,,,SG1 2BG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SG12BG,51.896084,-0.203001
thirdsectoraccountancy,Third Sector Accountancy Limited,,Cooperative,,,,M60 0AS,,https://www.thirdsectoraccountancy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
tiny,Tiny Coop,,Cooperative,,,,E1 4PP,,http://tiny.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E14PP,51.522218,-0.038594
tps,TPS,,Cooperative,,,,KT2 6HL,,http://tps.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/KT26HL,51.413901,-0.298722
tradeunion,NACO Trade Union,,Cooperative,,,,SK14 2QZ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SK142QZ,53.451411,-2.076516
truefood,True Food Community Co operative Ltd,,Cooperative,,,,RG4 8LJ,,https://www.truefood.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/RG48LJ,51.482827,-0.967535
tvtts,Think Venue Think Third Sector,,Cooperative,,,,B5 6DR,,http://www.thinkvenue.org/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B56DR,52.476865,-1.891786
twopiers,Twopiers Housing cooperative Ltd,,Cooperative,,,,BN1 2LJ,,http://twopiers.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN12LJ,50.822960,-0.153220
uk,Co-operatives UK Limited,,Cooperative,,,,M60 0AS,,https://www.uk.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
ukcu,UKCREDITUNIONS LTD,,Cooperative,,,,BB4 5TG,,https://ukcu.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BB45TG,53.703805,-2.322809
ukscs,UK Society for Co-operative Studies,,Cooperative,,,,NE7 7GF,,https://ukscs.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE77GF,54.999609,-1.566178
unicorn-grocery,Unicorn Grocery,,Cooperative,,,,M210BN,,https://www.unicorn-grocery.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M210BN,53.446082,-2.276495
uniteddiversity,UnitedDiversity LLP,,Cooperative,,,,SE1 2LD,,https://uniteddiversity.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE12LD,51.502697,-0.078394
university,Co-operative College,,Cooperative,,,,M60 0AS,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
upstream,Upstream Ltd,,Cooperative,,,,E3 2JE,,http://upstream.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E32JE,51.535388,-0.023378
urbed,URBED,,Cooperative,,,,M1 1HR,,http://urbed.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M11HR,53.482020,-2.233422
valleyorganics,Valley Organics Workers&#39; Co-op,,Cooperative,,,,HX7 5EU,,http://valleyorganics.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HX75EU,53.725740,-1.989869
wales,Wales Co-operative Centre,,Cooperative,,,,CF83 2AX,,http://wales.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CF832AX,51.570562,-3.245625
wave,Wave Design Ltd,,Cooperative,,,,TN34 1HL,,https://wave.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TN341HL,50.855214,0.577972
wealth,Co-operative Independent Financial Solutions Ltd,,Cooperative,,,,DE1 1BE,,http://wealth.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/DE11BE,52.922766,-1.479282
weareopen,We Are Open Co-operative Ltd,,Cooperative,,,,AL1 4PY,,https://weareopen.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/AL14PY,51.754225,-0.313346
web,Co-operative Web,,Cooperative,,,,B31 1TS,,https://web.coop/,,,,,,
webarchitects,Webarch Co-operative Limited,,Cooperative,,,,S3 7AL,,https://www.webarchitects.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S37AL,53.386902,-1.474345
westgrantonhousing,West Granton Housing Co-op,,Cooperative,,,,EH14 5UT,,https://www.westgrantonhousing.coop/,,,,,,
westmill,Westmill Wind Farm Co-operative,,Cooperative,,,,LA14 2PN,,https://www.westmill.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
westmillsolar,Westmill Solar Cooperative Ltd,,Cooperative,,,,SN6 7PU,,http://westmillsolar.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SN67PU,51.644426,-1.636516
westsolentsolar,West Solent Solar Co-operative Ltd.,,Cooperative,,,,LA14 2PN,,http://westsolentsolar.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
westwoodcollege,Westwood College Co-Operative Learning Trust,,Cooperative,,,,ST13 8NP,,http://www.westwoodcollege.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/ST138NP,53.104090,-2.052505
woodfuel,Wood Fuel Co-operative,,Cooperative,,,,DG1 3PW,,https://www.woodfuel.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG13PW,55.108567,-3.539528
woodlands,Woodlands Primary Academy,,Cooperative,,,,LS9 6DA,,https://woodlands.coopacademies.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS96DA,53.811161,-1.505958
wooldale,Wooldale Co-operative Society,,Cooperative,,,,HD9 1QJ,,http://wooldale.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD91QJ,53.576966,-1.771703
youroldham,Oldham Council,,Cooperative,,,,OL1 1UG,,,,,,,,
yourrighttobuy,A2D computer Services,,Cooperative,,,,M40 3LY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M403LY,53.518845,-2.169556
zebra,The Zebra Collective Ltd,,Cooperative,,,,PL1 4HQ,,http://www.zebra.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PL14HQ,50.372605,-4.179328
